id,Galaxy,RA,dec,Cluster,Sample,JClass,distance(Mpc),velocity(km/s),velocity_err,redshift
20,6dFGSgJ040053.2-351416,60.22167,-35.23767,Fornax,Main,4,65.78,4525.967373,44.968875,0.0151
190,ESO418-8,52.877708,-30.213333,Fornax,Main,4,15.97,1195.272698,0.299792,0.00399
22,NGC1341,51.9917,-37.1494,Fornax,Main,4,26.17,1876.101465,2.997925,0.00626
25,2MASXJ03235400-3730449,50.9708,-37.5083,Fornax,Main,3,19.04,1396.133672,44.968875,0.00466
24,2dFGRSTGS471Z004,49.8542,-32.6503,Fornax,Main,3,599.11,40741.80075,122.914925,0.1359
31,NGC1437A,55.7591,-36.2734,Fornax,Main,3,11.8,885.886838,2.997925,0.00296
28,ESO35867,57.025,-36.7022,Fornax,Main,3,74.71,5144.139508,8.094397,0.01716
34,6dFGSgJ040520.4-364859,61.3333,-36.8158,Fornax,Main,2,11.31,824.429375,8.993775,0.00275
27,ESO35717,50.2292,-33.7167,Fornax,Main,2,59.43,4147.029653,5.096472,0.01383
36,ESO35815,53.2792,-34.8094,Fornax,Main,2,18.99,1388.339067,3.297718,0.00463
37,ESO35820,53.7375,-32.6408,Fornax,Main,2,24.57,1769.075542,5.096472,0.0059
41,ESO418-13,54.175,-30.7372,Fornax,Main,2,58.35,4060.989205,11.9917,0.01355
47,NGC1310,50.2625,-37.1008,Fornax,Main,2,25.01,1805.050643,9.893153,0.00602
50,2MASXJ03325811-3531462,53.2375,-35.5286,Fornax,Main,1,73.0,5048.5057,0.0,0.01684
51,6dFGSgJ032504.2-365540,51.2667,-36.9267,Fornax,Main,1,24.99,1799.95417,0.899378,0.006
38,ESO35863,56.5792,-34.9458,Fornax,Main,1,27.2,1928.864945,2.098548,0.00643
39,ESO359-16,61.1042,-36.1797,Fornax,Main,1,19.85,1405.727032,3.297718,0.00469
42,IC1885,46.6708,-32.8642,Fornax,Main,1,68.12,4755.008843,9.893153,0.01586
46,NGC1288,49.3083,-32.5756,Fornax,Main,1,65.09,4537.959072,3.897302,0.01514
62,NGC1484,58.5708,-36.9708,Fornax,Main,1,14.3,1039.980182,2.997925,0.00347
48,NGC1492,59.5542,-35.4467,Fornax,Main,1,65.61,4516.973598,9.893153,0.01507