ObjID,Name,RA,dec,Cluster,Selection,Field,r-band,JClass
34,2dFGRSTGS848Z606,03:55:46.46,-36:15:43.37,Fornax,Control,splus-s28s36,14.75,0
3,2MASXJ03262503-3707417,03:26:25.00,-37:07:41.559,Fornax,Control,splus-s29s31,15.275,0
4,2MASXJ03324763-3414194,03:32:47.637,-34:14:19.4,Fornax,Control,splus-s27s33,14.359,0
6,2MASXJ03352407-3621496,03:35:24.090,-36:21:49.74,Fornax,Control,splus-s28s33,15.087,0
7,2MASXJ03381926-3507447,03:38:19.265,-35:07:44.74,Fornax,Control,splus-s27s34,15.25,0
8,2MASXJ03405042-3544534,03:40:50.4169,-35:44:54.37,Fornax,Control,splus-s28s34,15.231,0
9,2MASXJ03414141-3510119,03:41:41.410,-35:10:11.99,Fornax,Control,splus-s27s35,15.667,0
10,2MASXJ03451407-3656123,03:45:14.09,-36:56:12.02,Fornax,Control,splus-s29s34,14.665,0
11,2MASXJ03494903-3556440,03:49:49.018,-35:56:44.40,Fornax,Control,splus-s28s36,14.512,0
37,6dFGSgJ032512.2-325409,03:25:12.25,-32:54:09.7,Fornax,Control,splus-s25s33,15.559,0
38,6dFGSgJ033147.6-350305,03:31:47.67,-35:03:05.5,Fornax,Control,splus-s27s33,15.054,0
39,6dFGSgJ033312.8-360103,03:33:12.83,-36:01:02.4,Fornax,Control,splus-s28s33,15.366,0
40,6dFGSgJ033333.9-333423,03:33:33.5,-33:34:19,Fornax,Control,splus-s26s34,14.309,0
41,6dFGSgJ033612.9-360959,03:36:12.94,-36:09:59.0,Fornax,Control,splus-s28s33,15.836,0
42,6dFGSgJ033821.5-351535,03:38:21.48,-35:15:34.954,Fornax,Control,splus-s27s34,15.708,0
43,6dFGSgJ034033.9-350123,03:40:33.86,-35:01:21.4,Fornax,Control,splus-s27s35,15.062,0
44,6dFGSgJ034121.4-334611,03:41:21.53,-33:46:09.2,Fornax,Control,splus-s26s35,15.511,0
45,6dFGSgJ034145.5-334729,03:41:45.46,-33:47:30.7,Fornax,Control,splus-s26s35,15.738,0
46,6dFGSgJ034432.9-351146,03:44:32.94,-35:11:44.8,Fornax,Control,splus-s27s35,15.818,0
62,ESO301-8,03:22:22.92,-37:23:50.3,Fornax,Control,splus-s29s31,14.778,0
65,ESO358-19,03:34:30.875,-34:17:51.536,Fornax,Control,splus-s27s34,14.965,0
66,ESO358-21_NGC1373,03:34:59.208,-35:10:16.25,Fornax,Control,splus-s27s34,13.289,0
67,ESO358-22,03:35:20.356,-32:36:08.22,Fornax,Control,splus-s25s35,13.073,0
68,ESO358-23_NGC1374,03:35:16.598,-35:13:34.50,Fornax,Control,splus-s27s34,11.334,0
69,ESO358-24_NGC1375,03:35:16.8019,-35:15:56.379,Fornax,Control,splus-s27s34,12.424,0
70,ESO358-27_NGC1379,03:36:03.940,-35:26:28.23,Fornax,Control,splus-s27s34,11.329,0
71,ESO358-28_NGC1380,03:36:27.590,-34:58:34.68,Fornax,Control,splus-s27s34,10.347,0
72,ESO358-33,03:36:47.50,-34:44:22.78,Fornax,Control,splus-s27s34,12.415,0
73,ESO358-35_NGC1386,03:36:46.238,-35:59:57.39,Fornax,Control,splus-s28s34,11.186,0
74,ESO358-37_NGC1382,03:37:08.953,-35:11:42.09,Fornax,Control,splus-s27s34,12.83,0
75,ESO358-42,03:38:09.142,-34:31:06.73,Fornax,Control,splus-s27s34,14.837,0
76,ESO358-43,03:38:13.5995,-33:07:37.982,Fornax,Control,splus-s26s35,14.251,0
78,ESO358-50,03:41:03.608,-33:46:45.51,Fornax,Control,splus-s26s35,12.884,0
79,ESO358-56,03:43:22.631,-33:56:25.30,Fornax,Control,splus-s26s36,14.736,0
81,ESO358-59,03:45:03.554,-35:58:21.37,Fornax,Control,splus-s28s35,13.288,0
83,ESO358-61,03:45:54.864,-36:21:24.93,Fornax,Control,splus-s28s35,12.812,0
84,ESO358-66,03:47:52.66,-36:28:18.07,Fornax,Control,splus-s28s35,14.918,0
85,ESO359-2,03:50:36.723,-35:54:33.51,Fornax,Control,splus-s28s36,13.819,0
112,IC1919,03:26:02.213,-32:53:40.326,Fornax,Control,splus-s25s33,13.133,0
113,IC1963,03:35:31.029,-34:26:49.5,Fornax,Control,splus-s27s34,12.074,0
115,LEDA13449,03:39:13.42,-35:22:15.7,Fornax,Control,splus-s27s34,15.124,0
116,LEDA13452,03:39:19.60,-35:43:29.0,Fornax,Control,splus-s28s34,15.464,0
117,LEDA13749,03:44:59.95,-36:19:11.9,Fornax,Control,splus-s28s35,15.815,0
118,LEDA13839,03:47:08.17,-36:19:39.1,Fornax,Control,splus-s28s35,15.943,0
120,LEDA74521,03:28:51.97,-33:50:45.3,Fornax,Control,splus-s26s33,15.884,0
121,LEDA74617,03:30:46.21,-35:32:57.9,Fornax,Control,splus-s27s33,15.588,0
122,LEDA74618,03:30:46.6,-35:21:17,Fornax,Control,splus-s27s33,15.079,0
123,LEDA74792,03:37:34.010,-35:49:45.16,Fornax,Control,splus-s28s34,15.209,0
124,LEDA74873,03:40:27.020,-36:29:56.04,Fornax,Control,splus-s28s34,15.902,0
125,LEDA74896,03:40:55.34,-37:50:16.8,Fornax,Control,splus-s29s34,15.782,0
126,LEDA74983,03:45:33.76,-37:04:59.6,Fornax,Control,splus-s29s34,15.458,0
129,MCG-06-08-024,03:31:08.256,-36:17:24.40,Fornax,Control,splus-s28s33,14.254,0
130,MCG-06-08-025,03:31:24.82,-35:19:51.50,Fornax,Control,splus-s27s33,14.075,0
131,MCG-06-08-027,03:34:29.474,-35:32:47.03,Fornax,Control,splus-s27s34,14.122,0
132,MCG-06-09-008,03:36:54.31,-35:22:29.0,Fornax,Control,splus-s27s34,14.031,0
147,NGC1326,03:23:56.397,-36:27:52.78,Fornax,Control,splus-s28s32,12.905,0
148,NGC1336,03:26:32.199,-35:42:48.86,Fornax,Control,splus-s28s32,11.403,0
136,NGC1369_ESO358-34,03:36:45.256,-36:15:22.5,Fornax,Control,splus-s28s34,14.58,0
137,NGC1381,03:36:31.659,-35:17:42.74,Fornax,Control,splus-s27s34,10.152,0
138,NGC1396,03:38:06.566,-35:26:23.63,Fornax,Control,splus-s27s34,10.169,0
139,NGC1399,03:38:29.083,-35:27:02.67,Fornax,Control,splus-s27s34,12.61,0
140,NGC1404,03:38:51.917,-35:35:39.81,Fornax,Control,splus-s28s34,11.296,0
141,NGC1419,03:40:42.120,-37:30:39.0,Fornax,Control,splus-s29s34,12.695,0
142,NGC1427,03:42:19.4447,-35:23:33.19,Fornax,Control,splus-s27s35,12.24,0
143,NGC1428,03:42:22.9,-35:09:12,Fornax,Control,splus-s27s35,12.677,0
145,LEDA74998,03:47:37.4,-36:21:44,Fornax,Control,splus-s28s35,15.777,0
147,NGC1436,03:43:37.089,-35:51:10.99,Fornax,Control,splus-s28s35,10.849,0
148,NGC1460,03:46:13.751,-36:41:46.71,Fornax,Control,splus-s28s35,12.628,0
149,ESO357-25,03:23:37.277,-35:46:42.17,Fornax,Control,splus-s28s32,14.522,0
151,ESO358-6,03:27:18.048,-34:31:35.15,Fornax,Control,splus-s27s33,13.235,0
152,FCCB729,03:31:32.02,-38:03:45.8,Fornax,Control,splus-s29s32,15.599,0
